date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:25	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2003%20Nov%202023%2007:41:24%20GMT	https://en.labarraca.nl/robots.txt		(from )
13:11:26	157116/157116	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202023%2007:41:24%20GMT	https://en.labarraca.nl/	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/en.labarraca.nl/index.html	(from )
13:11:37	172663/172663	---M-Z	200	added ('OK')	text/css	etag:%22a1a085bf26c532a64ce4ee64abae3d88%22	https://assets-global.website-files.com/61f53606a22f7e1a572993f6/css/lbrc-website-2022.webflow.5f650a55e.min.css	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/assets-global.website-files.com/61f53606a22f7e1a572993f6/css/lbrc-website-2022.webflow.5f650a55e.min.css	(from https://en.labarraca.nl/)
13:11:37	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://en.labarraca.nl/)
13:11:38	444/444	---M--	200	added ('OK')	image/png	etag:%228b3505e562f47b0deb7023003c9d2567%22	https://assets-global.website-files.com/61f53606a22f7e1a572993f6/61f592a726750e2c930f676d_la-barraca-tapas-maastricht-32.png	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/assets-global.website-files.com/61f53606a22f7e1a572993f6/61f592a726750e2c930f676d_la-barraca-tapas-maastricht-32.png	(from https://en.labarraca.nl/)
13:11:38	4850/4850	---M--	200	added ('OK')	image/png	etag:%22d4a05bbf227a0bc9b76e44c4dd90abb7%22	https://assets-global.website-files.com/61f53606a22f7e1a572993f6/61f592ae9c9ae73b10ff43c2_la-barraca-tapas-maastricht-256.png	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/assets-global.website-files.com/61f53606a22f7e1a572993f6/61f592ae9c9ae73b10ff43c2_la-barraca-tapas-maastricht-256.png	(from https://en.labarraca.nl/)
13:11:38	206749/206749	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2003%20Nov%202023%2007:41:37%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/connect.facebook.net/en_US/fbevents.js	(from https://en.labarraca.nl/)
13:11:39	119458/119458	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cd85d10870e6d7ba85d21f1cc0ad20fa%22	https://cdn.weglot.com/weglot.min.js	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/cdn.weglot.com/weglot.min.js	(from https://en.labarraca.nl/)
13:11:39	23122/23122	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a52-7l0c8IkTDtvDwGJJ3Yh02Lyvxx0%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	(from https://en.labarraca.nl/)
13:11:40	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2003%20Nov%202023%2007:41:39%20GMT	https://en.labarraca.nl/%22https://assets-global.website-files.com/61f53606a22f7e1a572993f6/61f54e165b2373356cc89a83_La%20baraca%20Potato-HD%201080p%20(1	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/en.labarraca.nl/_https_/assets-global.website-files.com/61f53606a22f7e1a572993f6/61f54e165b2373356cc89a83_La%20baraca%20Potato-HD%201080p%20(1	(from https://en.labarraca.nl/)
13:11:40	3217416/3217416	---M--	200	added ('OK')	image/png	etag:%22b9ccd64b648d3d1270391144793b83ae%22	https://assets-global.website-files.com/61f53606a22f7e1a572993f6/6411aa523402700cfdd01534_Schermafbeelding%202023-03-15%20om%2012.19.54.png	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/assets-global.website-files.com/61f53606a22f7e1a572993f6/6411aa523402700cfdd01534_Schermafbeelding%202023-03-15%20om%2012.19.54.png	(from https://en.labarraca.nl/)
13:11:40	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2003%20Nov%202023%2007:41:39%20GMT	https://en.labarraca.nl/werken-bij	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/en.labarraca.nl/werken-bij	(from https://en.labarraca.nl/)
13:11:41	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2003%20Nov%202023%2007:41:40%20GMT	https://en.labarraca.nl/%22https://assets-global.website-files.com/61f53606a22f7e1a572993f6/61f54d8645c6ae311a1261b2_IMG_4448-poster-00001.jpg%22	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/en.labarraca.nl/_https_/assets-global.website-files.com/61f53606a22f7e1a572993f6/61f54d8645c6ae311a1261b2_IMG_4448-poster-00001.jpg_	(from https://en.labarraca.nl/)
13:11:41	2426578/2426578	---M--	200	added ('OK')	image/jpeg	etag:%22c3169372f48ffd8c48a525210640485f%22	https://assets-global.website-files.com/61f53606a22f7e1a572993f6/61f54d478f4ec498919d32e4_la-barraca-maastricht.jpg	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/assets-global.website-files.com/61f53606a22f7e1a572993f6/61f54d478f4ec498919d32e4_la-barraca-maastricht.jpg	(from https://en.labarraca.nl/)
13:11:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Nov%202023%2007:41:40%20GMT	https://apps.elfsight.com/p/platform.js	C:/Users/kolip/Documents/Websites_Copy/walkingstreet_2/apps.elfsight.com/p/platform.c.delayed	(from https://en.labarraca.nl/)
